_key,cik_str,ticker,title
405,939380,RWEOY,RWE AG /FI
406,1097864,ON,ON SEMICONDUCTOR CORP
407,1315098,RBLX,Roblox Corp
408,100493,TSN,"TYSON FOODS, INC."
409,1024478,ROK,"ROCKWELL AUTOMATION, INC"
410,915912,AVB,AVALONBAY COMMUNITIES INC
411,1057352,CSGP,"COSTAR GROUP, INC."
412,1037868,AME,AMETEK INC/
413,1113169,TROW,PRICE T ROWE GROUP INC
414,756894,GOLD,BARRICK GOLD CORP
415,948696,HCMLY,LafargeHolcim Ltd/ADR
416,915913,ALB,ALBEMARLE CORP
417,277135,GWW,"W.W. GRAINGER, INC."
418,1300514,LVS,LAS VEGAS SANDS CORP
419,1410636,AWK,"American Water Works Company, Inc."
420,1289490,EXR,Extra Space Storage Inc.
421,1489393,LYB,LyondellBasell Industries N.V.
422,1138118,CBRE,"CBRE GROUP, INC."
423,1521332,APTV,Aptiv PLC
424,1178670,ALNY,"ALNYLAM PHARMACEUTICALS, INC."
425,1097362,SLF,SUN LIFE FINANCIAL INC
426,909037,SQM,CHEMICAL & MINING CO OF CHILE INC
427,1038143,ORAN,ORANGE
428,882184,DHI,HORTON D R INC /DE/
429,1671933,TTD,"Trade Desk, Inc."
430,1618756,QSR,Restaurant Brands International Inc.
431,1041130,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST
432,1065088,EBAY,EBAY INC
433,48465,HRL,HORMEL FOODS CORP /DE/
434,1792789,DASH,"DoorDash, Inc."
435,1035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
436,1039684,OKE,ONEOK INC /NEW/
437,106535,WY,WEYERHAEUSER CO
438,1832433,FERG,Ferguson plc
439,33185,EFX,EQUIFAX INC
440,1461748,PPERY,PT Bank Mandiri (Persero) Tbk / ADR
441,1533232,BEP,Brookfield Renewable Partners L.P.
442,16988,CAJ,CANON INC
443,908937,SIRI,SIRIUS XM HOLDINGS INC.
444,93751,STT,STATE STREET CORP
445,827052,EIX,EDISON INTERNATIONAL
446,1679788,COIN,"Coinbase Global, Inc."
447,1381197,IBKR,"Interactive Brokers Group, Inc."
448,1637120,CKHUY,CK Hutchison Holdings Limited/ADR
449,936958,MDY,SPDR S&P MIDCAP 400 ETF TRUST
450,1330306,VWDRY,VESTAS WIND SYSTEMS A/S
451,55067,K,KELLOGG CO
452,45012,HAL,HALLIBURTON CO
453,1004980,PCG,PG&E Corp
454,717826,ERIC,ERICSSON LM TELEPHONE CO
455,814052,TEF,TELEFONICA S A
456,1456346,FNV,FRANCO NEVADA Corp
457,936340,DTE,DTE ENERGY CO
458,105770,WST,WEST PHARMACEUTICAL SERVICES INC
459,1280452,MPWR,MONOLITHIC POWER SYSTEMS INC
460,1445166,WEGZY,Weg SA
461,1868275,CEG,Constellation Energy Corp
462,1535628,CAIXY,CaixaBank/ADR
463,1441816,MDB,"MongoDB, Inc."
464,1701605,BKR,Baker Hughes Co
465,1013462,ANSS,ANSYS INC
466,920760,LEN,LENNAR CORP /NEW/
467,1352010,EPAM,"EPAM Systems, Inc."
468,1379235,ARZGY,Assicurazioni Generali S.p.A.
469,719739,SIVB,SVB FINANCIAL GROUP
470,749251,IT,GARTNER INC
471,1402057,CDW,CDW Corp
472,1477333,NET,"Cloudflare, Inc."
